beam_num,beam_center,beam_left,beam_right
0,-13.5735,-13.7893,-13.3577
1,-13.1419,-13.3577,-12.9211
2,-12.7003,-12.9211,-12.4723
3,-12.2442,-12.4723,-12.0082
4,-11.7721,-12.0082,-11.5301
5,-11.2881,-11.5301,-11.0401
6,-10.7921,-11.0401,-10.5373
7,-10.2824,-10.5373,-10.0211
8,-9.7597,-10.0211,-9.4902
9,-9.2206,-9.4902,-8.9418
10,-8.663,-8.9418,-8.3765
11,-8.0899,-8.3765,-7.7963
12,-7.5026,-7.7963,-7.2023
13,-6.9019,-7.2023,-6.5958
14,-6.2897,-6.5958,-5.9779
15,-5.6661,-5.9779,-5.3476
16,-5.0291,-5.3476,-4.7057
17,-4.3823,-4.7057,-4.0544
18,-3.7264,-4.0544,-3.3948
19,-3.0632,-3.3948,-2.7282
20,-2.3931,-2.7282,-2.0551
21,-1.717,-2.0551,-1.3757
22,-1.0343,-1.3757,-0.6902
23,-0.3461,-0.6902,0.0
24,0.3461,0.0,0.6902
25,1.0343,0.6902,1.3757
26,1.717,1.3757,2.0551
27,2.3931,2.0551,2.7282
28,3.0632,2.7282,3.3948
29,3.7264,3.3948,4.0544
30,4.3823,4.0544,4.7057
31,5.0291,4.7057,5.3476
32,5.6661,5.3476,5.9779
33,6.2897,5.9779,6.5958
34,6.9019,6.5958,7.2023
35,7.5026,7.2023,7.7963
36,8.0899,7.7963,8.3765
37,8.663,8.3765,8.9418
38,9.2206,8.9418,9.4902
39,9.7597,9.4902,10.0211
40,10.2824,10.0211,10.5373
41,10.7921,10.5373,11.0401
42,11.2881,11.0401,11.5301
43,11.7721,11.5301,12.0082
44,12.2442,12.0082,12.4723
45,12.7003,12.4723,12.9211
46,13.1419,12.9211,13.3577
47,13.5735,13.3577,13.7893
