beam_num,beam_center,beam_left,beam_right
0,-7.419,-7.493,-7.345
1,-7.271,-7.345,-7.197
2,-7.123,-7.197,-7.048
3,-6.974,-7.048,-6.899
4,-6.824,-6.899,-6.749
5,-6.674,-6.749,-6.598
6,-6.523,-6.598,-6.447
7,-6.372,-6.447,-6.296
8,-6.22,-6.296,-6.144
9,-6.068,-6.144,-5.992
10,-5.915,-5.992,-5.839
11,-5.763,-5.839,-5.686
12,-5.609,-5.686,-5.533
13,-5.456,-5.533,-5.379
14,-5.302,-5.379,-5.225
15,-5.148,-5.225,-5.07
16,-4.993,-5.07,-4.915
17,-4.838,-4.915,-4.76
18,-4.682,-4.76,-4.604
19,-4.526,-4.604,-4.448
20,-4.37,-4.448,-4.291
21,-4.213,-4.291,-4.134
22,-4.055,-4.134,-3.976
23,-3.897,-3.976,-3.818
24,-3.739,-3.818,-3.66
25,-3.581,-3.66,-3.501
26,-3.422,-3.501,-3.343
27,-3.264,-3.343,-3.185
28,-3.105,-3.185,-3.026
29,-2.947,-3.026,-2.868
30,-2.788,-2.868,-2.709
31,-2.63,-2.709,-2.55
32,-2.471,-2.55,-2.392
33,-2.313,-2.392,-2.233
34,-2.154,-2.233,-2.075
35,-1.995,-2.075,-1.916
36,-1.836,-1.916,-1.757
37,-1.677,-1.757,-1.598
38,-1.518,-1.598,-1.438
39,-1.359,-1.438,-1.279
40,-1.199,-1.279,-1.119
41,-1.039,-1.119,-0.96
42,-0.88,-0.96,-0.8
43,-0.72,-0.8,-0.64
44,-0.56,-0.64,-0.48
45,-0.4,-0.48,-0.32
46,-0.24,-0.32,-0.16
47,-0.08,-0.16,0.0
48,0.08,0.0,0.16
49,0.24,0.16,0.32
50,0.4,0.32,0.48
51,0.56,0.48,0.64
52,0.72,0.64,0.8
53,0.88,0.8,0.96
54,1.039,0.96,1.119
55,1.199,1.119,1.279
56,1.359,1.279,1.438
57,1.518,1.438,1.598
58,1.677,1.598,1.757
59,1.836,1.757,1.916
60,1.995,1.916,2.075
61,2.154,2.075,2.233
62,2.313,2.233,2.392
63,2.471,2.392,2.55
64,2.63,2.55,2.709
65,2.788,2.709,2.868
66,2.947,2.868,3.026
67,3.105,3.026,3.185
68,3.264,3.185,3.343
69,3.422,3.343,3.501
70,3.581,3.501,3.66
71,3.739,3.66,3.818
72,3.897,3.818,3.976
73,4.055,3.976,4.134
74,4.213,4.134,4.291
75,4.37,4.291,4.448
76,4.526,4.448,4.605
77,4.682,4.605,4.76
78,4.838,4.76,4.916
79,4.993,4.916,5.07
80,5.148,5.07,5.225
81,5.302,5.225,5.379
82,5.456,5.379,5.533
83,5.609,5.533,5.686
84,5.763,5.686,5.839
85,5.915,5.839,5.992
86,6.068,5.992,6.144
87,6.22,6.144,6.296
88,6.372,6.296,6.448
89,6.523,6.448,6.599
90,6.674,6.599,6.749
91,6.824,6.749,6.899
92,6.974,6.899,7.049
93,7.123,7.049,7.199
94,7.271,7.199,7.345
95,7.419,7.345,7.493
