beam_num,beam_center,beam_left,beam_right
0,-13.749,-13.8562,-13.6419
1,-13.5347,-13.6419,-13.4261
2,-13.3174,-13.4261,-13.2075
3,-13.0975,-13.2075,-12.9867
4,-12.8758,-12.9867,-12.7628
5,-12.6498,-12.7628,-12.5348
6,-12.4197,-12.5348,-12.3026
7,-12.1855,-12.3026,-12.0666
8,-11.9476,-12.0666,-11.8273
9,-11.7069,-11.8273,-11.5853
10,-11.4636,-11.5853,-11.3405
11,-11.2173,-11.3405,-11.0925
12,-10.9676,-11.0925,-10.841
13,-10.7144,-10.841,-10.5862
14,-10.4579,-10.5862,-10.3282
15,-10.1985,-10.3282,-10.0669
16,-9.9352,-10.0669,-9.8016
17,-9.668,-9.8016,-9.5321
18,-9.3961,-9.5321,-9.2578
19,-9.1195,-9.2578,-8.979
20,-8.8385,-8.979,-8.696
21,-8.5535,-8.696,-8.4095
22,-8.2654,-8.4095,-8.1196
23,-7.9738,-8.1196,-7.826
24,-7.6781,-7.826,-7.5287
25,-7.3793,-7.5287,-7.2284
26,-7.0774,-7.2284,-6.9251
27,-6.7727,-6.9251,-6.619
28,-6.4652,-6.619,-6.3101
29,-6.1549,-6.3101,-5.9983
30,-5.8416,-5.9983,-5.6831
31,-5.5246,-5.6831,-5.3646
32,-5.2046,-5.3646,-5.0435
33,-4.8824,-5.0435,-4.7201
34,-4.5578,-4.7201,-4.3944
35,-4.231,-4.3944,-4.0665
36,-3.9019,-4.0665,-3.7365
37,-3.5711,-3.7365,-3.4049
38,-3.2387,-3.4049,-3.0716
39,-2.9044,-3.0716,-2.7365
40,-2.5686,-2.7365,-2.4
41,-2.2314,-2.4,-2.062
42,-1.8925,-2.062,-1.7222
43,-1.5519,-1.7222,-1.3809
44,-1.2098,-1.3809,-1.0381
45,-0.8664,-1.0381,-0.694
46,-0.5216,-0.694,-0.3487
47,-0.1757,-0.3487,-0.0026
48,0.1706,-0.0026,0.3438
49,0.5169,0.3438,0.6899
50,0.8628,0.6899,1.0352
51,1.2076,1.0352,1.3793
52,1.551,1.3793,1.7221
53,1.8931,1.7221,2.0634
54,2.2337,2.0634,2.4032
55,2.5726,2.4032,2.7412
56,2.9098,2.7412,3.0777
57,3.2456,3.0777,3.4128
58,3.5799,3.4128,3.7461
59,3.9123,3.7461,4.0777
60,4.2431,4.0777,4.4077
61,4.5722,4.4077,4.7356
62,4.899,4.7356,5.0613
63,5.2236,5.0613,5.3847
64,5.5458,5.3847,5.7058
65,5.8658,5.7058,6.0243
66,6.1828,6.0243,6.3395
67,6.4961,6.3395,6.6513
68,6.8064,6.6513,6.9602
69,7.1139,6.9602,7.2663
70,7.4186,7.2663,7.5696
71,7.7205,7.5696,7.8699
72,8.0193,7.8699,8.1672
73,8.315,8.1672,8.4608
74,8.6066,8.4608,8.7507
75,8.8947,8.7507,9.0372
76,9.1797,9.0372,9.3202
77,9.4607,9.3202,9.599
78,9.7373,9.599,9.8733
79,10.0092,9.8733,10.1428
80,10.2764,10.1428,10.4081
81,10.5397,10.4081,10.6694
82,10.7991,10.6694,10.9274
83,11.0556,10.9274,11.1822
84,11.3088,11.1822,11.4337
85,11.5585,11.4337,11.6817
86,11.8048,11.6817,11.9265
87,12.0481,11.9265,12.1685
88,12.2888,12.1685,12.4078
89,12.5267,12.4078,12.6438
90,12.7609,12.6438,12.876
91,12.991,12.876,13.104
92,13.217,13.104,13.3279
93,13.4387,13.3279,13.5487
94,13.6586,13.5487,13.7673
95,13.8759,13.7673,13.9831
